Treebank,CCompRatio,AdvclRatio,EmbeddingDepth,CoordAvg,Transitivity,Ditransitivity,fr_acl,fr_advcl,fr_advmod,fr_amod,fr_appos,fr_aux,fr_case,fr_cc,fr_ccomp,fr_compound,fr_conj,fr_cop,fr_csubj,fr_dep,fr_det,fr_discourse,fr_dislocated,fr_expl,fr_fixed,fr_flat,fr_goeswith,fr_iobj,fr_list,fr_mark,fr_nmod,fr_nsubj,fr_nummod,fr_obj,fr_obl,fr_orphan,fr_parataxis,fr_reparandum,fr_vocative,fr_xcomp,MAMSP,DDir_global,DDir_balance,Hdir,MDD,VarDL,DDir_acl,DDir_advcl,DDir_advmod,DDir_amod,DDir_appos,DDir_aux,DDir_case,DDir_cc,DDir_ccomp,DDir_compound,DDir_conj,DDir_cop,DDir_csubj,DDir_det,DDir_dislocated,DDir_expl,DDir_fixed,DDir_flat,DDir_iobj,DDir_mark,DDir_nmod,DDir_nsubj,DDir_nummod,DDir_obj,DDir_obl,DDir_orphan,DDir_parataxis,DDir_vocative,DDir_xcomp
hy_armtdp-ud,0.008694656,0.015161545,0.283879139,1.176406731,0.204849821,0.046348856,0.0276625,0.015161545,0.046032029,0.098352726,0.007230695,0.060098786,0.037833847,0.05019477,0.008694656,0.019629809,0.082771087,0.02105558,0.005142959,0.007638058,0.038826794,0.008109071,0.000560124,0.000165491,0.010094967,0.025498383,0.000623775,0.011240675,0.003348015,0.01712198,0.139610968,0.079715864,0.014906943,0.047954273,0.084820633,0.002202307,0.013684854,0,0.000712885,0.013302951,1.181821148,0.366067138,-0.267865723,0.947604401,3.588967863,32.42591316,,,,,,,,,0.888726208,0.277561608,1,0.955259976,0.893564356,0.001967213,0.772727273,0,1,1,0.474518686,0.000743494,0.043494119,0.225327371,0.005123826,0.454473055,0.334684076,0.878612717,0.677209302,0.321428571,0.662200957
lt_alksnis-ud,0.00865275,0.024893009,0.397583745,1.393465129,0.230854197,0.000552283,0.042291951,0.024893009,0.075781644,0.070511503,0.003625558,0,0.043095554,0.057055822,0.00865275,3.73769E-05,0.094843858,0.012782896,0.005195388,0.006634398,0.0173055,9.34422E-05,0,0,0,0.007120298,0,0.000112131,0,0.027546768,0.213085649,0.071819694,0.023846456,0.047150947,0.113009027,5.60653E-05,0.011325198,0,0,0.022127119,1.235859109,0.352311426,-0.295377147,0.936115432,3.611926813,31.39304802,0.416703491,0.587087087,0.109001233,0.015372383,1,,0.013443192,0.023583361,0.963282937,0,1,0.052631579,0.485611511,0.016198704,,,,1,0.833333333,0.007462687,0.215137695,0.271662763,0.115203762,0.750297265,0.529022656,1,0.376237624,,0.956081081
ga_idt-ud,0.008618015,0.013672716,0.374745418,0.92586558,0.263162989,0,0.022651065,0.013672716,0.025153393,0.042069124,0.004654329,0,0.155975057,0.036473921,0.008618015,0.002061918,0.045502317,0.015394317,0.009608936,0,0.094628004,0.000370344,0.000550512,0,0.016455303,0.012521645,4.00372E-05,0,0.001661545,0.067292582,0.138378692,0.066221586,0.006476023,0.045662466,0.1098922,0.000110102,0.007567037,0,0.000550512,0.049786301,1.208737205,0.573410231,0.146820461,0.984394102,3.557265034,45.22777941,0.999558109,0.761346999,0.719856745,0.942660005,1,,0.001989347,0.001646542,0.944250871,1,1,0.00520156,1,0.170615612,0.872727273,,1,1,,0.006395954,0.899168174,0.868047158,0.034003091,0.562253398,0.916932325,0.818181818,0.912698413,0.636363636,0.985122638
de_gsd-ud,0.003653427,0.006154684,0.142408108,0.765090769,0.263559701,3.19428E-05,0.011224233,0.006154684,0.073596447,0.067508798,0.029034691,0.028092006,0.128674376,0.036777275,0.003653427,0.012761857,0.049970672,0.016352438,0.00100553,0.002987263,0.166951567,4.60868E-05,0,0.002572482,0.000469248,0.034183844,8.37942E-06,4.18971E-06,0,0.013076085,0.091256075,0.086090163,0.012208815,0.03483325,0.080015083,0.000125691,0.002383945,1.25691E-05,2.9328E-05,0.007939501,1.127886085,0.323579224,-0.352841551,0.908231346,3.76059199,23.85112168,0.962299365,0.700476515,0.224695434,0.020294172,1,0.335421327,0.005632977,0.018910914,0.770642202,0.521667761,1,0.178068153,0.7,0.002333869,,0.517915309,1,1,0,0.063120795,0.803544374,0.216955421,0.029169526,0.523574693,0.390826265,0.733333333,0.92970123,0.571428571,0.659630607
en_ewt-ud,0.012152661,0.022415761,0.35838046,0.565154614,0.279072421,0.018145299,0.020008249,0.022415761,0.067065041,0.058307835,0.008109767,0.046562821,0.102765282,0.040237106,0.012152661,0.047747393,0.045052131,0.0284825,0.001664157,2.39792E-05,0.093984097,0.005112367,2.8775E-05,0.003625656,0.003088522,0.011984807,0.000824885,0.003812694,0.005088387,0.041402496,0.070556413,0.103532617,0.008603739,0.05878742,0.0596171,0.000139079,0.009740353,0.0002302,0.000877639,0.018368071,1.135810758,0.340722345,-0.318555311,0.925508262,3.332734387,21.89036257,0.997123682,0.754385965,0.236913616,0.024263859,1,0.007518797,0.043074482,0.000357569,0.951065509,0.096524709,1,0.041421115,0.668587896,0,0,0.100529101,1,1,0.998742138,0.000115835,0.642400761,0.037659811,0.164437012,0.964186654,0.862762449,0.862068966,0.960118168,0.573770492,0.997389034
nl_alpino-ud,0.008404775,0.01272607,0.245828126,0.364110858,0.214269985,0.016547645,0.01842206,0.01272607,0.075718379,0.05248779,0.013613531,0.04005174,0.125694598,0.023764225,0.008404775,0.011328175,0.028729365,0.016844352,0.002679783,0,0.141924108,0,0,0.005133351,0.016867554,0.034494959,0,0.003155416,0,0.035910256,0.072197538,0.103890906,0.011473185,0.039999536,0.076982866,0.000371225,0.009466247,0,0,0.017668008,1.093465337,0.31607522,-0.367849561,0.900062229,3.597422709,20.197742,0.850755668,0.706472197,0.21840049,0.017792021,1,0.101086169,0.024503922,0.006102026,0.920634921,0.585765489,1,0.418044077,0.835497835,0.000122609,,0.293785311,1,1,0.408088235,0.01211436,0.803567125,0.204064541,0.085439838,0.366589327,0.417495479,0.671875,0.789215686,,0.641825345
el_gdt-ud,0.012069376,0.014889837,0.490281634,0.845299484,0.267416995,0.007765898,0.023864032,0.014889837,0.050969762,0.08056629,0.004853391,0.040054211,0.098423106,0.037105548,0.012069376,0.000402923,0.039028589,0.010970495,0.008150034,1.83147E-05,0.221827439,3.66294E-05,0,0.000384608,0.001630007,0.012160949,0,0.001282028,0,0.021281662,0.118166334,0.06554825,0.008534642,0.043588945,0.069376019,0.000769217,0.001648321,0,0.001355287,0.011043754,1.23045661,0.372156489,-0.255687022,0.952313523,3.43622784,29.10102175,0.991557943,0.746617466,0.34567014,0.031825415,1,0.004115226,0.000930406,0.012339585,0.965098634,0.590909091,1,0.153589316,0.984269663,0.013953104,,0.047619048,1,1,0.142857143,0.003442341,0.95133292,0.265437273,0.02360515,0.836134454,0.785110876,0.642857143,0.766666667,0.22972973,0.980099502
fa_perdt-ud,0.01621402,0.009873159,0.34740784,0.815577009,0.274043149,8.23983E-05,0.023425699,0.009873159,0.021378227,0.052706656,0.002465372,0.030042047,0.16603437,0.049727665,0.01621402,0.076622628,0.055421833,0.011967324,0.001592219,0.004750976,0.023983676,0,0,0,0.000336187,0.019858381,4.66926E-06,1.40078E-05,0,0.027973563,0.147035134,0.064701996,0.012744757,0.046690309,0.117499702,0,0.00019144,0,0.000406226,0.016337756,1.139999247,0.393677163,-0.212645673,0.967131598,3.431189691,20.92379494,0.999402033,0.547174273,0.047723053,0.950611269,1,0.49207336,0.218299165,0.005352113,0.993232541,0.001828154,1,0.998829497,0.98973607,0.001362796,,,1,1,0,0.000751127,0.964226739,0.004366024,0.025828906,0.00480024,0.079854557,,1,0,0.029294084
hi_hdtb-ud,0.002445443,0.014550706,0.285602739,0.447234068,0.272594825,0.04154735,0.0138543,0.014550706,0.012182285,0.045603338,0,0.064932606,0.213648909,0.020629012,0.002445443,0.129175225,0.023896021,0.011267651,0,0.015917843,0.025019255,0,0.001113607,0,0,0,0,0.008080873,0,0.043507702,0.11059371,0.069059692,0.0178819,0.052538511,0.100523107,0,0,0,2.24647E-05,0.003555841,1.154962509,0.379621054,-0.240757892,0.957773945,3.548271179,24.77703373,0.378735233,0.064843405,0.131190727,0.026812104,,0.997726486,0.999008607,0.001400124,1,0.0760478,1,1,,0.000384813,0.902017291,,,,0.000397141,0.51456812,0.023301703,0.014312933,0.005384063,0.219595626,0.002490183,,,0.142857143,0.007220217
es_gsd-ud,0.004333568,0.019325811,0.422630199,1.075621331,0.284889521,2.12256E-05,0.02217863,0.019325811,0.030351277,0.065324121,0.02384685,0.013984247,0.18264834,0.035942802,0.004333568,0.001132977,0.046799816,0.015171563,0.001915464,0.003203308,0.166218819,8.15091E-06,2.71697E-06,0.01454666,0.007420046,0.020108298,5.43394E-06,2.71697E-06,0,0.031734215,0.106684562,0.046134159,0.01699465,0.036804082,0.074306425,1.35849E-05,0.004548209,0,5.43394E-06,0.008303062,1.115822277,0.418951517,-0.162096965,0.980962399,3.407010823,31.7338287,0.988484626,0.831575988,0.204189419,0.710560246,1,0.008742957,0.007869096,0.01708368,0.917868339,0.362110312,1,0.07234957,0.910638298,0.002713394,0,0.136533433,1,1,1,0.004195205,0.961977283,0.167137809,0.204636291,0.905433338,0.766609382,1,0.985663082,1,0.992146597
fr_gsd-ud,0.004217163,0.01037528,0.265818137,0.870946029,0.292218506,0.019910814,0.023826679,0.01037528,0.040536527,0.059004996,0.018606689,0.022050412,0.170345166,0.03182282,0.004217163,1.7645E-05,0.041856963,0.016351066,0.000658748,0.000135279,0.178356012,0.000144101,0.000220563,0.008369628,0.010184126,0.023811975,0.000111752,0.002705572,0,0.019791847,0.104708578,0.067045251,0.010704654,0.039980708,0.076964701,0.000611695,0.003281976,0,4.41126E-05,0.013157314,1.13456382,0.406453549,-0.187092902,0.97460072,3.315273771,28.44372511,0.993334979,0.681405896,0.334445734,0.696670654,1,0.001333689,0,0,1,0,1,0.015647482,0.897321429,0,0.12,0.021082221,1,1,0.009782609,0.001931649,0.984187614,0.027107641,0.001648352,0.859286502,0.845133927,0.783653846,0.961469534,0.4,0.997988377
it_isdt-ud,0.005757229,0.014882498,0.306486906,0.714830239,0.276838146,0.018212324,0.024443255,0.014882498,0.04181083,0.066661606,0.003659696,0.033041144,0.167099491,0.032577689,0.005757229,0.003024443,0.040460419,0.013711875,0.001266511,4.39483E-05,0.194283523,0.000247709,0.00012785,0.011902003,0.004087193,0.016800243,3.9953E-06,0.002772739,0,0.025194371,0.095931185,0.060404964,0.014223273,0.040951841,0.073133994,0.000159812,0.001841834,0,0.000407521,0.009085316,1.169654708,0.387043402,-0.225913196,0.962865022,3.349528981,31.42020363,0.991663942,0.719194631,0.203822265,0.696194186,1,0.001692866,0.000621653,0.000245278,0.984732824,1,1,0.180652681,0.813880126,0.001604014,0.21875,0.162470628,1,1,0.285302594,0,0.977843488,0.249288974,0.377808989,0.882634146,0.760284075,0.75,0.787418655,0.156862745,0.989885664
ro_rrt-ud,0.013994398,0.018607632,0.522574549,0.912851743,0.247592194,0.045368141,0.026916978,0.018607632,0.05518754,0.073679151,0.006292783,0.035259474,0.1523417,0.036519135,0.013994398,0.000381213,0.048032884,0.011795515,0.00475688,0.000204419,0.065839415,0.000110497,0,0.025850686,0.02768493,0.008281722,0.000464086,0.009088348,5.52483E-05,0.035325772,0.112137502,0.066634991,0.023452909,0.043436224,0.081839327,0.000381213,0.008657411,5.52483E-06,0.000337015,0.006447478,1.164777419,0.493936931,-0.012126138,0.999893928,3.22343276,23.07452397,0.994458128,0.743171021,0.253979377,0.87814937,1,0.005484174,0.019619932,0.024962179,0.996446901,0.956521739,1,0.058079625,0.919860627,0.103549551,,0.05107929,1,1,0.569604863,0.00140757,0.9864512,0.184810546,0.475147232,0.854998728,0.816647539,0.463768116,0.331206126,0.590163934,0.898886033
cs_pdtc-ud,0.012752632,0.014777562,0.305462861,0.659673768,0.272233884,0.005144492,0.01822068,0.014777562,0.074048255,0.113302019,0.008238034,0.024734389,0.117517856,0.040500442,0.012752632,0.00379536,0.052133645,0.026130448,0.003834089,0.005565791,0.029073788,0.000444452,0,0.020625515,0.004140225,0.021732034,0,0.00087415,0,0.028990799,0.116173436,0.081948801,0.024891146,0.047333197,0.09123434,0.001562036,0.003433897,3.6884E-06,0.000153068,0.011834221,1.205496087,0.414289412,-0.171421175,0.978697992,3.33275942,21.13799686,0.993889092,0.66014642,0.196758788,0.05913314,1,0.137565409,0.000621548,0.023460174,0.824580548,0.256076686,1,0.213618071,0.919348431,0.011389258,,0.214507433,1,1,0.805725971,0.016013091,0.940676287,0.273390187,0.273760331,0.719424713,0.609775217,0.995846314,0.910987483,0.348837209,0.973669775
pl_pdb-ud,0.012461382,0.014780296,0.294239798,0.707385338,0.253799015,0.115937228,0.027864006,0.014780296,0.077957726,0.092149033,0.008045815,0.020033043,0.134211755,0.03920668,0.012461382,0,0.058046927,0.012465087,0.000826067,5.18607E-05,0.024889426,0.000585285,0,0.022800181,0.014428384,0.009686836,0,0.024570853,0.001011283,0.028093675,0.096646095,0.078417064,0.008842247,0.056479993,0.104606711,0.000437112,0.010501789,0,0.001044622,0.018858769,1.121571618,0.494361969,-0.011276061,0.999908279,3.080246838,17.56445171,0.730390853,0.668421053,0.176478974,0.361915099,1,0.54012574,0.001959648,0.004062736,0.993162901,,1,0.171768202,0.946188341,0.058639679,,0.808610885,1,1,0.822101613,0.018591772,0.938328862,0.257074023,0.008378718,0.836820358,0.743439924,0.525423729,0.356261023,0.578014184,0.971125516
ru_syntagrus-ud,0.007320513,0.014189353,0.250593019,0.886987462,0.285736358,0.073545696,0.023661705,0.014189353,0.091992177,0.099295646,0.011479315,0.005850445,0.121943217,0.050003622,0.007320513,0.001337975,0.066920058,0.006544999,0.007073371,4.26107E-06,0.036589783,0.000362191,4.26107E-06,0.000882041,0.011696629,0.009728016,0,0.014641026,9.80045E-05,0.022830797,0.104221439,0.095993319,0.011398354,0.047421415,0.0896912,0.001533984,0.027573365,0,0.000472978,0.017244538,1.168947983,0.422571152,-0.154857695,0.982631622,3.282399514,20.87195581,0.849197377,0.578750323,0.145184872,0.021363881,1,0.200310078,0.002796163,0.000512633,0.988183161,0.156812339,1,0.312131554,0.83215829,0.042367479,0,0.023904382,1,1,0.648036649,0.000535168,0.974639417,0.252656148,0.037763682,0.796261042,0.619529518,0.599269184,0.593938241,0.480582524,0.916304897